Payment Month,Total Payments (USD),Invoices Paid
2024-01,224661.45,42
2024-02,359841.99,82
2024-03,791591.47,139
2024-04,853596.46,184
2024-05,862142.43,151
2024-06,1088753.16,228
2024-07,1109700.76,239
2024-08,1131460.49,219
2024-09,1136734.09,210
2024-10,1150678.47,225
2024-11,934045.81,196
2024-12,1287333.74,225
2025-01,1084286.06,219
2025-02,983487.45,182
2025-03,1215910.32,223
2025-04,1433729.87,244
2025-05,1517289.92,300
2025-06,573667.31,144
