Type,Number,Transaction Date,Last Payment Date,Amt. Paid (USD)
Invoice,18945,05/31/2025,06/11/2025,7250.00
Invoice,18996,05/31/2025,,0.00
Invoice,19050,05/31/2025,06/13/2025,6842.27
Invoice,19049,05/31/2025,,0.00
Invoice,19016,05/31/2025,06/11/2025,7273.00
Invoice,18983,05/31/2025,06/10/2025,1865.00
Invoice,19014,05/31/2025,06/13/2025,4405.00
Invoice,19056,05/31/2025,,0.00
Invoice,18988,05/31/2025,,0.00
Invoice,18951,05/31/2025,06/10/2025,4910.00
Invoice,18952,05/31/2025,06/10/2025,5110.00
Invoice,18953,05/31/2025,06/10/2025,5110.00
Invoice,18954,05/31/2025,06/10/2025,5110.00
Invoice,18955,05/31/2025,06/10/2025,5110.00
Invoice,18956,05/31/2025,06/10/2025,5110.00
Invoice,18957,05/31/2025,06/10/2025,5175.00
Invoice,18958,05/31/2025,06/10/2025,4975.00
Invoice,18959,05/31/2025,06/10/2025,5395.00
Invoice,18961,05/31/2025,06/10/2025,4910.00
Invoice,18962,05/31/2025,06/10/2025,4910.00
Invoice,18963,05/31/2025,06/10/2025,4975.00
Invoice,18964,05/31/2025,06/10/2025,4975.00
Invoice,18965,05/31/2025,06/10/2025,4910.00
Invoice,18966,05/31/2025,06/10/2025,5110.00
Invoice,18967,05/31/2025,06/10/2025,5110.00
Invoice,18968,05/31/2025,06/10/2025,5110.00
Invoice,18969,05/31/2025,06/10/2025,5110.00
Invoice,18970,05/31/2025,06/10/2025,4975.00
Invoice,18971,05/31/2025,06/10/2025,5110.00
Invoice,18972,05/31/2025,06/10/2025,4910.00
Invoice,18973,05/31/2025,06/10/2025,4910.00
Invoice,18974,05/31/2025,06/10/2025,4910.00
Invoice,18975,05/31/2025,06/10/2025,4910.00
Invoice,18976,05/31/2025,06/10/2025,4910.00
Invoice,18977,05/31/2025,06/10/2025,4910.00
Invoice,18978,05/31/2025,06/10/2025,4975.00
Invoice,18940,05/31/2025,,0.00
Invoice,19046,05/31/2025,06/11/2025,3533.00
Invoice,19058,05/31/2025,,0.00
Invoice,19051,05/31/2025,,0.00
Invoice,18993,05/30/2025,,0.00
Invoice,18950,05/30/2025,,0.00
Invoice,19015,05/30/2025,,0.00
Invoice,18992,05/30/2025,,0.00
Invoice,18991,05/30/2025,,0.00
Invoice,18935,05/30/2025,,0.00
Invoice,18934,05/30/2025,,0.00
Invoice,18981,05/30/2025,,0.00
Invoice,17611-B,05/30/2025,05/22/2025,300.00
Invoice,18933,05/30/2025,06/16/2025,1745.42
Invoice,18987,05/30/2025,,0.00
Invoice,17611-A,05/30/2025,05/22/2025,1500.00
Invoice,18932,05/30/2025,05/30/2025,49804.19
Invoice,19012,05/30/2025,,0.00
Invoice,18979,05/30/2025,06/20/2025,2520.00
Invoice,18938,05/30/2025,06/09/2025,2935.00
Invoice,18930,05/30/2025,05/30/2025,3155.28
Invoice,18928,05/29/2025,06/05/2025,200.19
Invoice,18927,05/28/2025,05/28/2025,6277.00
Invoice,18883,05/28/2025,06/17/2025,210.00
Invoice,18926,05/28/2025,,0.00
Invoice,18882,05/28/2025,06/17/2025,300.00
Invoice,18881,05/28/2025,06/17/2025,35.00
Invoice,18880,05/28/2025,06/17/2025,155.00
Invoice,18925,05/28/2025,,0.00
Invoice,18924,05/28/2025,,0.00
Invoice,18923,05/28/2025,,0.00
Invoice,18922,05/28/2025,06/05/2025,2315.00
Invoice,18920,05/28/2025,,0.00
Invoice,18919,05/28/2025,,0.00
Invoice,18918,05/28/2025,,0.00
Invoice,18917,05/28/2025,,0.00
Invoice,19006,05/28/2025,,0.00
Invoice,19005,05/28/2025,,0.00
Invoice,18900,05/27/2025,05/30/2025,2678.00
Invoice,19007,05/27/2025,,0.00
Invoice,18867,05/24/2025,05/28/2025,4960.00
Invoice,18886,05/24/2025,05/29/2025,4910.00
Invoice,18887,05/24/2025,05/29/2025,4910.00
Invoice,18888,05/24/2025,05/29/2025,4910.00
Invoice,18889,05/24/2025,05/29/2025,4910.00
Invoice,18890,05/24/2025,05/29/2025,4975.00
Invoice,18891,05/24/2025,05/29/2025,4910.00
Invoice,18892,05/24/2025,05/29/2025,4910.00
Invoice,18893,05/24/2025,05/29/2025,4975.00
Invoice,18894,05/24/2025,05/29/2025,4910.00
