date,description,amount
05/05/2025,Wire Trans Svc Charge - Sequence: 250505169559 Srf# 0011295125239835 Trn#250505169559 Rfb#,40.0
05/05/2025,WT Fed#08260 City Natl Bk Flori /Ftr/Bnf=Miami Dade Clerk of Court Srf# 0011295125239835 Trn#250505169559 Rfb#,165541.7
06/13/2025,Zelle to Pro Lock and Safe on 06/13 Ref #Rp0Yxcx8MM Inv 10286 921 Jefferson 4A,1270.0
