date,description,amount
07/03/2024,'Preauthorized Wd TECH CARGO LLC ACH 240703 001715540000009,0.00
07/03/2024,'Preauthorized Wd TECH CARGO LLC ACH 240703 001715540000185,0.00
07/03/2024,Check 2329 000007100484380,0.00
07/05/2024,'Preauthorized Credit WORLDWIDE FLT SV AIR CARGO 240705 021000025949577,762.30
07/05/2024,'Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 15801-15822-1 5808-15830-15885-1 5887-15864 021000025596056,38100.00
07/05/2024,'Deposit 000007184683350,10329.85
07/05/2024,'Preauthorized Wd VISA PAYMENT 240705 091000018874343,0.00
07/05/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240703 BATCH 6046437 081000608046709,0.00
07/05/2024,'Preauthorized Wd MAGAYA ACH 7868459150 240705 1860000762 026073187516508,0.00
07/05/2024,'Preauthorized Wd TECH CARGO LLC ACH 240705 001713040000039,0.00
07/05/2024,Check 2330 000007100547020,0.00
07/05/2024,"'Online Domestic Wire CYZERG LLCTD BANK, CYZERG LLC 000000000000561",0.00
07/05/2024,'Online Intl Wire TRISTAR LOGISTICS TRISTAR LOGISTICS PERU 000000000000563,0.00
07/05/2024,'Online Intl Wire MINGKUN INTERNATIO MINGKUN INTERNATIO NAL LOGISTICS LTD 000000000000562,0.00
07/05/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMER ICAN SERVICES LLC 000000000000560,0.00
07/08/2024,'Wire Transfer-in 1/JAIME BASMESON M 1/JAIME BASMESON M ONTERO 000000000000644,417.00
07/08/2024,'Preauthorized Wd AMWINS GRP BEN INS PREMIU 240708 091000010855344,0.00
07/08/2024,Check 2305 000007066814070,0.00
07/08/2024,Check 2316 000007066815860,0.00
07/08/2024,'Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000,0.00
07/09/2024,'Preauthorized Credit MERCHANT BNKCD DEPOSIT 240709 938206002884 026008815160910,592.25
07/09/2024,'Deposit 000007184752260,4720.00
07/09/2024,'Deposit 000007184759840,70035.00
07/09/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240708 BATCH 6053275 081000601139445,0.00
07/10/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240709 BATCH 6059373 081000602280120,0.00
07/11/2024,'Preauthorized Credit INTERLINK MARKET PAYMENT 240711 2198688 043000092068428,6077.08
07/11/2024,'Deposit 000007184805380,22500.00
07/11/2024,'Wire Transfer-out CROWLEY LATIN AMER CROWLEY LATIN AMER ICAN SERVICES LLC 000000000000236,0.00
07/11/2024,'Preauthorized Wd MAERSK A/S 4320004154 240710 004320004154 111000027727002,0.00
07/11/2024,'Preauthorized Wd MAERSK A/S 4300004568 240710 004300004568 111000023227419,0.00
07/31/2024,'Wire Transfer-in DISBATTERY LUBRICA DISBATTERY LUBRICA NTES LLC 000000000000494,2710.00
07/31/2024,'Deposit 000007185076860,12160.00
07/31/2024,'Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000,0.00
07/31/2024,Ending Totals,895090.15
07/31/2024,Beginning balance,0.00
08/01/2024,'Preauthorized Credit CAPITAL LOGISTIC MILENA 240731 6811688495 211274456549931,1320.00
08/01/2024,'Preauthorized Wd CMA-CGM LLC VIATRUSTLY 240801 021214899028628,0.00
08/01/2024,'Preauthorized Wd MAERSK A/S 4350004668 240731 004350004668 111000028318519,0.00
08/01/2024,'Preauthorized Wd TECH CARGO LLC ACH 240801 001315270000030,0.00
08/01/2024,'Preauthorized Wd TECH CARGO LLC ACH 240801 001315270000040,0.00
08/01/2024,'Preauthorized Wd TECH CARGO LLC ACH 240801 001315270000002,0.00
08/01/2024,Check 2349 000007102146800,0.00
08/01/2024,Check 2350 000007102146810,0.00
08/01/2024,"'Online Domestic Wire MTS LOGISTICS, INC MTS LOGISTICS, INC . 000000000000573",0.00
08/02/2024,'Preauthorized Credit AIBONITO MEMORIA PAYMENTS INV 16332 021502015511445,9575.00
08/02/2024,'Credit Memo ADV FROM LN 70070017436-10102 256000802132301,80000.00
08/02/2024,'Wire Transfer-in PEARL MERCHANDISIN PEARL MERCHANDISIN G AND DISTRIBUTIO 000000000000196,5449.73
08/02/2024,'Deposit 000007185118360,95715.00
08/02/2024,'Preauthorized Wd LEASEDIRECT 8639_1 INV# 587922117 DUE 08/01/24 REC# 132 4275 043000097908375,0.00
08/02/2024,'Preauthorized Wd MAERSK A/S 4300004968 RMR*IK*DIRECT DEBI T PAYMENT CONFIRMA T\RMR*IK*IO\ 111000026271734,0.00
08/02/2024,'Preauthorized Wd TECH CARGO LLC ACH 240802 001715420000066,0.00
08/02/2024,'Preauthorized Wd TECH CARGO LLC ACH 240802 001715420000067,0.00
08/02/2024,'Preauthorized Wd TECH CARGO LLC ACH 240802 001715420000035,0.00
08/02/2024,'Preauthorized Wd TECH CARGO LLC ACH 240802 001715420000146,0.00
08/02/2024,'Preauthorized Wd TECH CARGO LLC ACH 240802 001715420000115,0.00
08/02/2024,'Preauthorized Wd TECH CARGO LLC ACH 240802 001715420000072,0.00
08/02/2024,Check 2351 000007102212840,0.00
08/02/2024,Check 2352 000007102200140,0.00
08/30/2024,Ending Totals,1046538.61
08/30/2024,Beginning balance,0.00
09/03/2024,'Deposit 000007185587960,12010.00
09/03/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240830 BATCH 6237510 081000609109835,0.00
09/03/2024,'Preauthorized Wd CMA-CGM LLC VIATRUSTLY 240903 021214890184246,0.00
09/03/2024,'Preauthorized Wd MERCHANT BNKCD DISCOUNT 240903 938206002884 026008816684515,0.00
09/03/2024,Check 2373 000007103776530,0.00
09/04/2024,'Preauthorized Credit ICL FREIGHT (USA ACH PMT 16573 021000029851010,1217.17
09/04/2024,'Preauthorized Wd LEASEDIRECT 9079_1 INV# 588161653 DUE 09/01/24 REC# 138 1915 043000096245545,0.00
09/04/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240903 BATCH 6245982 081000601538229,0.00
09/04/2024,Check 2374 000007103853410,0.00
09/05/2024,'Deposit 000007185649210,6040.00
09/05/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240904 BATCH 6249933 081000603174283,0.00
09/05/2024,'Preauthorized Wd TECH CARGO LLC ACH 240905 001343170000010,0.00
09/05/2024,'Online Domestic Wire EVERGREEN SHIPPING EVERGREEN SHIPPING AGENCY (AMERICA) 000000000000251,0.00
09/05/2024,'Online Intl Wire ANDASHUN GLOBAL SU ANDASHUN GLOBAL SU PPLY CHAIN(HK)LTD 000000000000252,0.00
09/05/2024,'Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000,0.00
09/06/2024,'Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 16509 - 16625 - 16624 - 16622 - 16603 021000028459545,61595.46
09/06/2024,'Deposit 000007185672150,38175.00
09/06/2024,'Deposit 000007185683290,80530.00
09/06/2024,'Online Intl Wire CONEXO ASSESSORIA CONEXO ASSESSORIA EM COMERCIO EXTER 000000000000624,0.00
09/06/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMER ICAN SERVICES LLC 000000000000623,0.00
09/09/2024,'Deposit 000007185715590,1740.00
09/09/2024,'Preauthorized Wd MAGAYA ACH 7868459150 240908 2500001452 026073187787612,0.00
09/09/2024,'Preauthorized Wd AMWINS GRP BEN INS PREMIU 240909 091000013716175,0.00
09/09/2024,'Preauthorized Wd TECH CARGO LLC ACH 240909 001715350000039,0.00
09/10/2024,'Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 16664 - 16717 - 16721 - 16722 - 16730 - 16743 021000023169782,44896.00
09/10/2024,'Deposit 000007185757400,8660.00
09/10/2024,'Preauthorized Wd CMA-CGM LLC VIATRUSTLY 240910 021214893781338,0.00
09/10/2024,'Preauthorized Wd TECH CARGO LLC ACH 240910 001714570000073,0.00
09/10/2024,Check 2376 000007070643620,0.00
09/10/2024,Check 2378 000007070648450,0.00
09/10/2024,'Online Domestic Wire CAROTRANS INTERNAT CAROTRANS INTERNAT IONAL 000000000000518,0.00
09/10/2024,'Online Intl Wire ANDASHUN GLOBAL SU ANDASHUN GLOBAL SU PPLY CHAIN(HK)LTD 000000000000517,0.00
09/30/2024,'Wire Transfer-in BRANDFORCE INTERNA BRANDFORCE INTERNA TIONAL LLC 000000000000397,3675.00
09/30/2024,"'Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A, S.A. 000000000000354",14924.70
09/30/2024,"'Wire Transfer-in OMEGA TECH, S.A.OC OMEGA TECH, S.A. 000000000000110",41623.29
09/30/2024,'Deposit 000007186037860,52059.01
09/30/2024,'Automatic Ln Paymt AUTOMATIC LOAN PAY 000000000000000,0.00
09/30/2024,Check 2387 000007105261780,0.00
09/30/2024,Ending Totals,1057722.41
09/30/2024,Beginning balance,288290.81
10/02/2024,Preauthorized Credit SPACE PLUS USA L SENDER 241002 746322702 113000023167272,17508.27
10/02/2024,Preauthorized Credit MERCHANT BNKCD DEPOSIT 241002 938206002884 026008819124246,3460.24
10/02/2024,Deposit 000007186067280,173605.00
10/04/2024,Deposit 000007186116300,3615.00
10/04/2024,Deposit 000007186142750,7297.18
10/07/2024,Preauthorized Credit PAYCARGO ACHPAYMENT 241004 BATCH 6343022 081000603284719,3470.90
10/07/2024,Deposit 000007186151050,2658.80
10/08/2024,Preauthorized Credit INTERLINK MARKET PAYMENT 241008 2723599 043000099437716,7184.74
10/08/2024,Preauthorized Credit MERCHANT BNKCD DEPOSIT 241008 938206002884 026008812461746,3460.24
10/10/2024,Wire Transfer-in DISBATTERY LUBRICA DISBATTERY LUBRICA NTES LLC 000000000000389,7668.92
10/10/2024,Deposit 000007186221930,95795.00
10/11/2024,Deposit 000007186255720,4865.75
10/15/2024,Wire Transfer-in BACKUP ENERGY SOLU BACKUP ENERGY SOLU TIONS (BES) SRL 000000000000117,3075.00
10/15/2024,Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000475,21375.00
10/15/2024,Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000473,22506.26
10/15/2024,Deposit 000007186267830,24857.00
10/16/2024,Wire Transfer-in PEARL MERCHANDISIN PEARL MERCHANDISIN G AND DISTRIBUTIO 000000000000375,1125.00
10/18/2024,Credit Memo ADV FROM LN 70070017436-10102 256001018103447,90000.00
10/18/2024,Wire Transfer-in 1/INTERAMERICANA D 1/INTERAMERICANA D E CABLES VENEZ 000000000000517,2319.97
10/18/2024,Deposit 000007186358910,109818.77
10/21/2024,Preauthorized Credit ICL FREIGHT (USA ACH PMT FACTURA 16720 021000022211076,1770.50
10/22/2024,Deposit 000007186387210,6123.00
10/23/2024,Preauthorized Credit MERCHANT BNKCD DEPOSIT 241023 938206002884 026008811981843,2935.50
10/24/2024,Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 16918-16919-1 6920-16921-16922-1 6924-16928-16930-1 6862-16974-17052 021000020544480,55884.73
10/24/2024,Deposit 000007186419300,151224.93
10/25/2024,Preauthorized Credit INELEC CORPORATI SENDER 241025 750165880 113000024454450,493.80
10/25/2024,Preauthorized Credit SPACE PLUS USA L SENDER 241025 750519326 113000024477810,65327.86
10/25/2024,Deposit 000007186434290,4971.90
10/28/2024,Preauthorized Credit MERCHANT BNKCD DEPOSIT 241026 938206002884 026008813001113,3999.60
10/29/2024,Deposit 000007186476400,8320.00
10/30/2024,Deposit 000007186493990,104620.00
10/31/2024,Preauthorized Credit MERCHANT BNKCD DEPOSIT 241031 938206002884 026008816686026,8288.16
11/01/2024,Wire Transfer-in 1/C.T.I. S.R.L.UNI 1/C.T.I. S.R.L. 000000000000042,1109.65
11/01/2024,Deposit 000007186527330,6025.00
11/04/2024,ACH Return Credit RETURN SETTLE A ACH RTN - R02 IFS NEUTRAL MARITI ORIGINAL ENTRY EFF DATE = 241031 026008816354748,1194.80
11/04/2024,Deposit 000007186561100,5910.00
11/06/2024,Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A S.A. 000000000000072,427.00
11/06/2024,Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A S.A. 000000000000415,15326.43
11/06/2024,Deposit 000007186616960,116950.00
11/07/2024,Deposit 000007186640320,4690.13
11/07/2024,Deposit 000007186641860,30167.50
11/12/2024,Deposit 000007186701710,9385.00
11/12/2024,Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000557,24647.32
11/12/2024,Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000560,24647.32
11/13/2024,Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 17160 - 17162 - 17164 - 17166 021000023730622,48284.48
11/13/2024,Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000162,8644.68
11/15/2024,Deposit 000007186783430,14500.00
11/15/2024,Deposit 000007186771600,26580.00
11/15/2024,Deposit 000007186778960,30445.00
11/15/2024,Deposit 000007186771260,111770.00
11/18/2024,Preauthorized Credit PROMO INTERNATIO ACH PMT INV. 17181 - 17183 - 17184 - 17185 - 17217 - 17218 - 1 7219 021000024932538,26565.00
11/19/2024,Wire Transfer-in 1/JAIME BASMESON M 1/JAIME BASMESON M ONTERO 000000000000479,5604.22
11/19/2024,Wire Transfer-in FAMILY MARKET C.AP FAMILY MARKET C.A 000000000000219,6140.00
11/19/2024,Wire Transfer-in 768542 1888004 ONT 768542 1888004 ONT ARIO LTD. 000000000000059,9233.84
11/20/2024,Preauthorized Credit INTERLINK MARKET PAYMENT 241120 2998888 043000098971510,5265.61
11/20/2024,Wire Transfer-in BACKUP ENERGY SOLU BACKUP ENERGY SOLU TIONS (BES) SRL 000000000000191,3050.00
11/20/2024,Deposit 000007186838540,3516.31
11/20/2024,Wire Transfer-in 1/SUPRICOMSA/ROC/T 1/SUPRICOMSA 000000000000375,4125.00
11/21/2024,Deposit 000007186862770,17852.50
11/22/2024,Credit Memo ADV FROM LN 70070017436-10102 256001122095229,150000.00
11/22/2024,Deposit 000007186889030,6874.72
11/22/2024,Deposit 000007186881860,22531.81
11/22/2024,Deposit 000007186875320,146225.00
11/29/2024,Preauthorized Credit MERCHANT BNKCD DEPOSIT 241128 938206002884 026008817051564,7323.67
11/29/2024,Deposit 000007186963690,33032.50
12/02/2024,Deposit 000007186999300,19880.00
12/03/2024,Deposit 000007187005860,3581.22
12/04/2024,Preauthorized Credit CAPITAL LOGISTIC MILENA 241204 6811688495 211274453057123,5900.00
12/04/2024,Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 17220 - 1726 1 - 17224 021000026071757,52177.27
12/05/2024,Deposit 000007187074740,186035.00
12/06/2024,Preauthorized Credit SPACE PLUS USA L SENDER 241206 759071270 113000027035226,5392.92
12/09/2024,Preauthorized Credit VENCOL INTERNATI ACH PAYMEN 241209 TECH CARGO 067015770003932,1890.00
12/09/2024,Preauthorized Credit PAYCARGO ACHPAYMENT 241206 BATCH 6532825 081000606966906,55.00
12/09/2024,Wire Transfer-in SUPLAVEN C AMERCAN SUPLAVEN C A 000000000000007,9573.00
12/09/2024,Deposit 000007187115980,37960.00
12/10/2024,Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A S.A. 000000000000465,4167.88
12/10/2024,Deposit 000007187146910,5084.99
12/11/2024,Preauthorized Credit INTERLINK MARKET PAYMENT PAYMENT FOR INVOIC E #17584 043000094938590,575.00
12/11/2024,Preauthorized Credit PAYCARGO ACHPAYMENT 241210 BATCH 6542574 081000600113532,1375.00
12/11/2024,Wire Transfer-in 1/DEVONPORT INTERC 1/DEVONPORT INTERC ONTINENTAL CORP 000000000000544,400.00
12/12/2024,Preauthorized Credit NOVACT CORPORATI ACH PMT 17342-17306 021000025367818,4029.88
12/12/2024,Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000308,38912.80
12/13/2024,Preauthorized Credit MERCHANT BNKCD DEPOSIT 241213 938206002884 026008810260263,770.15
12/13/2024,Wire Transfer-in BACKUP ENERGY SOLU BACKUP ENERGY SOLU TIONS (BES) SRL 000000000000231,3020.00
12/13/2024,Deposit 000007187211100,10320.00
12/13/2024,Wire Transfer-in C-POST INTERNATION C-POST INTERNATION AL N.V. 000000000000049,22081.23
12/13/2024,Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000147,27430.00
12/16/2024,Preauthorized Credit INELEC CORPORATI SENDER 241216 760149658 113000027488771,1528.21
12/16/2024,Wire Transfer-in 1/PALMAS Y DERIVAD 1/PALMAS Y DERIVAD OS S A 000000000000319,785.80
12/16/2024,Wire Transfer-in 1/JAIME BASMESON M 1/JAIME BASMESON M ONTERO 000000000000140,3804.80
12/16/2024,Wire Transfer-in TECH CARGO LLCTRA TECH CARGO LLC 000000000000767,6036.50
12/16/2024,Deposit 000007187238060,7040.12
12/17/2024,Preauthorized Credit SEABOARD MARINE TRUCKERS 241217 00723952 028000086279285,1050.00
12/17/2024,Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 17349 021000026905175,1565.00
12/17/2024,Wire Transfer-in LOVIKTA LOGISTICS LOVIKTA LOGISTICS (PRIVATE) LIMITED 000000000000044,1832.27
12/17/2024,Wire Transfer-in PEARL MERCHANDISIN PEARL MERCHANDISIN G AND DISTRIBUTIO 000000000000441,4915.00
12/17/2024,Wire Transfer-in TECH CARGO LLCTRA TECH CARGO LLC 000000000000560,5658.00
12/17/2024,Deposit 000007187262380,36092.50
12/17/2024,Deposit 000007187277810,327865.00
12/18/2024,Preauthorized Credit FLORIDA TRAFFIC SENDER 241218 761179580 113000027637898,919.38
12/18/2024,Wire Transfer-in TECH CARGO LLCTRA TECH CARGO LLC 000000000000056,2379.03
12/18/2024,Wire Transfer-in MANUEL A ROJAS APA MANUEL A ROJAS APA RICIO 000000000000376,8906.00
12/20/2024,Preauthorized Credit CROWLEY 7789 EDI PAYMNT 241219 8129229 031100201278724,70800.00
12/20/2024,Wire Transfer-in 1/CICA PROCUREMENT 1/CICA PROCUREMENT S LOGISTICS LLC 000000000000584,10000.00
12/23/2024,Wire Transfer-in 1/IMPORT SERVICES 1/IMPORT SERVICES TRADING LLC 000000000000325,1476.85
12/23/2024,Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A S.A. 000000000000723,5723.17
12/24/2024,Preauthorized Credit VENCOL INTERNATI ACH PAYMEN 241224 TECH CARGO 067015770004619,1890.00
12/24/2024,Deposit 000007187381090,214435.00
12/26/2024,Preauthorized Credit SEABOARD MARINE TRUCKERS 241226 00725295 028000082782900,2625.00
12/27/2024,Preauthorized Credit MAERSK A/S 1007329830 241227 10008100264898 111000024936410,2655.00
12/27/2024,Deposit 000007187415800,5595.00
12/27/2024,Deposit 000007187421960,52650.00
12/30/2024,Preauthorized Credit TECH CARGO LLC ACH PMT TRANSFER 021000029057094,22189.13
12/30/2024,Deposit 000007187446460,4200.00
12/31/2024,Preauthorized Credit CICA PROCUREMENT SENDER 241231 113000028292523,3000.00
12/31/2024,Preauthorized Credit TU PAQUETICO CO ACH PMT INVOICE 17467 021000022834047,6000.00
12/31/2024,Deposit 000007187455050,215.00
01/02/2025,'Preauthorized Credit PAYCARGO ACHPAYMENT 241231 BATCH 6602968 081000601507136,400.00
01/03/2025,'Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000268,21190.00
01/03/2025,'Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000267,21791.99
01/06/2025,'Preauthorized Credit SEABOARD MARINE TRUCKERS 250106 00726555 028000085216914,525.00
01/06/2025,'Preauthorized Credit GLOBAL CARGO AND ACH CREDIT 250106 053101128678298,8190.00
01/06/2025,'Preauthorized Credit TECH CARGO LLC ACH PMT TRASPASO 021000027203519,6823.65
01/06/2025,'Wire Transfer-in PEARL MERCHANDISIN PEARL MERCHANDISIN G AND DISTRIBUTIO 000000000000174,14115.00
01/07/2025,'Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A S.A. 000000000000059,7071.89
01/07/2025,Deposit 000007187559750,181765.00
01/08/2025,'Preauthorized Credit LOGISTIC SERVICE CORP PAY 250108 114000093328015,5350.00
01/08/2025,'Preauthorized Credit HATILLO CASH PAYMENTS 250108 TECH CARGO 021502018727589,5575.00
01/08/2025,'Preauthorized Credit A & M GLOBAL SOL ACH PMT PAYMENT INV 17178- 17179-17264-17266-17267 021000024806027,7500.02
01/08/2025,'Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 17462 - 1739 4 021000024806149,29660.54
01/08/2025,Deposit 000007187581090,96926.50
01/09/2025,'Preauthorized Credit LOGISTIC SERVICE CORP PAY 250109 114000094132471,180.00
01/09/2025,'Wire Transfer-in 1/SANAEL LLC DBA C 1/SANAEL LLC DBA C ENTRAL TRADING 000000000000164,6293.00
01/09/2025,'Wire Transfer-in OMEGA TECHNOLOGY D OMEGA TECHNOLOGY D E EL SALVADOR SA 000000000000024,14629.66
01/10/2025,'Preauthorized Credit TU PAQUETICO CO ACH PMT 250110 11158200857 021000026517083,17000.00
01/10/2025,'Wire Transfer-in C-POST INTERNATION C-POST INTERNATION AL N V 000000000000076,7960.81
01/13/2025,'Preauthorized Credit ISO TOOLS LLC SENDER 250113 766076632 113000029083556,5445.25
01/14/2025,'Preauthorized Credit NOVACT CORPORATI ACH PMT 17412-17419 021000024921882,5248.80
01/14/2025,'Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 17649 - 17672 021000024946887,29364.54
01/15/2025,'Preauthorized Credit SEABOARD MARINE TRUCKERS 250115 00727565 028000087023530,2625.00
01/15/2025,'Preauthorized Credit TU PAQUETICO CO ACH PMT 250115 11158484292 021000028601946,5000.00
01/15/2025,'Wire Transfer-in ICL FREIGHT SAFACE ICL FREIGHT SA 000000000000009,1389.50
01/15/2025,Deposit 000007187728360,5035.00
01/16/2025,'Preauthorized Credit GLOBAL CARGO AND ACH CREDIT 250116 053101124205472,5200.00
01/16/2025,'Preauthorized Credit TECH CARGO LLC ACH PMT TRASPASO 021000028177975,16816.50
01/16/2025,Deposit 000007187729400,1000.00
01/16/2025,'Wire Transfer-in TECH CARGO LLCO/B TECH CARGO LLC 000000000000513,5407.40
01/16/2025,Deposit 000007187729420,106460.00
01/17/2025,'Preauthorized Credit PAYCARGO ACHPAYMENT 250116 BATCH 6666843 081000608583197,675.00
01/17/2025,'Preauthorized Credit TU PAQUETICO CO ACH PMT 250117 11158891404 021000029062151,3000.00
01/17/2025,'Preauthorized Credit SPACE PLUS USA L SENDER 250117 767079458 113000029403359,14847.03
01/17/2025,Deposit 000007187758370,27600.00
01/21/2025,'Preauthorized Credit SEABOARD MARINE TRUCKERS 250121 00728274 028000084571216,1575.00
01/21/2025,'Wire Transfer-in 1/DIST. DE MAQUINA 1/DIST. DE MAQUINA S DE COSER SOCIE 000000000000040,2162.54
01/21/2025,'Wire Transfer-in LEXIMP LOGISTIC SA LEXIMP LOGISTIC SA S 000000000000541,2763.00
01/21/2025,Deposit 000007187794330,7307.10
01/21/2025,Deposit 000007187795570,13476.09
01/22/2025,'Preauthorized Credit TU PAQUETICO CO ACH PMT 250122 11159204107 021000026040747,1000.00
01/22/2025,Credit Memo ADV FROM LN 70070017436-10102 256000122134145,80000.00
01/22/2025,'Wire Transfer-in 1/INVERSIONES JG L 1/INVERSIONES JG L LC 000000000000042,1076.50
01/22/2025,'Wire Transfer-in 1/FLORIDA TRAFFIC 1/FLORIDA TRAFFIC SUPPLY LLC 000000000000475,2954.49
01/23/2025,'Preauthorized Credit TU PAQUETICO CO ACH PMT 250123 11159386033 021000020076289,2000.00
01/24/2025,'Preauthorized Credit A & M GLOBAL SOL ACH PMT PAYMENT INV 17461- 17463-17530-17658 021000023755557,7608.48
01/24/2025,'Preauthorized Credit PAH DISTRIBUTORS SENDER 250124 768192348 113000029715908,25336.36
01/24/2025,'Preauthorized Credit INTERLINK MARKET PAYMENT PAYMENT FOR INVOIC E 17788 043000092607186,6660.05
01/24/2025,'Wire Transfer-in GRAAHO TECHNOLOGIE GRAAHO TECHNOLOGIE S LLC 000000000000371,1015.00
01/24/2025,'Wire Transfer-in 1/ISO TOOLS LLC532 1/ISO TOOLS LLC 000000000000469,16000.00
01/27/2025,'Preauthorized Credit NOVACT CORPORATI ACH PMT 17496-17520-17586- 17706 021000021142949,2604.08
01/27/2025,'Wire Transfer-in PROWINCH LLCBMG O PROWINCH LLC 000000000000285,850.00
01/27/2025,'Wire Transfer-in AMCOR RIGID PACKAG AMCOR RIGID PACKAG ING DE VENEZUE 000000000000009,9154.85
01/28/2025,'Preauthorized Credit PAH DISTRIBUTORS SENDER 250128 768696360 113000029870228,5315.48
01/28/2025,Deposit 000007187906370,95782.00
01/29/2025,'Preauthorized Credit GLOBAL CARGO AND ACH CREDIT 250129 053101128442872,5200.00
01/29/2025,Deposit 000007187923660,1190.00
01/29/2025,'Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000180,12951.64
01/29/2025,'Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000179,17820.00
01/29/2025,Deposit 000007187911770,21030.00
01/30/2025,'Preauthorized Credit TU PAQUETICO CO ACH PMT 250130 11160072897 021000026332402,1000.00
01/30/2025,Deposit 000007187927210,1470.40
01/30/2025,'Wire Transfer-in FAMILY MARKET C.AP FAMILY MARKET C.A 000000000000008,4850.00
01/30/2025,'Wire Transfer-in AMCOR RIGID PACKAG AMCOR RIGID PACKAG ING DE VENEZUE 000000000000516,14531.09
01/31/2025,'Wire Transfer-in BACKUP ENERGY SOLU BACKUP ENERGY SOLU TIONS (BES) SRL 000000000000243,5940.00
02/03/2025,'Wire Transfer-in 1/BINLLOSSERA SA.B 1/BINLLOSSERA SA. 000000000000033,3820.00
02/03/2025,Deposit 000007187979140,124280.00
02/04/2025,'Preauthorized Credit SEABOARD MARINE TRUCKERS 250204 00730293 028000082094536,1575.00
02/04/2025,'Preauthorized Credit TU PAQUETICO CO ACH PMT 250204 11160618747 021000022672725,1000.00
02/04/2025,'Preauthorized Credit PAH DISTRIBUTORS SENDER 250204 770313678 113000020391678,8976.45
02/04/2025,'Preauthorized Credit SUPRICOM LLC SENDER 250204 770620502 113000020404196,16254.00
02/04/2025,'Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A S.A. 000000000000462,2911.43
02/05/2025,'Preauthorized Credit LOGISTIC SERVICE CORP PAY 250205 114000095767600,5260.00
02/05/2025,'Preauthorized Credit ISO TOOLS LLC SENDER 250205 770991410 113000020470930,15189.77
02/05/2025,Deposit 000007188034800,2225.00
02/06/2025,Deposit 000007188059470,4950.00
02/11/2025,'Wire Transfer-in 1/JUMBO MARKET S A 1/JUMBO MARKET S A 000000000000224,1728.50
02/11/2025,Deposit 000007188153110,184021.12
02/11/2025,Deposit 000007188150240,205132.00
02/12/2025,'Preauthorized Credit CAPITAL LOGISTIC 17826 250212 6811688495 211274451062750,7360.00
02/12/2025,'Wire Transfer-in EXCELL WATER PRODU EXCELL WATER PRODU CTION CONSULTIN 000000000000546,20.21
02/13/2025,'Preauthorized Credit VENCOL INTERNATI ACH PAYMEN 250213 TECH CARGO 067015770003852,3960.00
02/13/2025,'Preauthorized Credit SENADUANA FREIGH ACH PMT INV 17821 021000029490433,72203.00
02/13/2025,'Wire Transfer-in 1/INVERSIONES JG L 1/INVERSIONES JG L LC 000000000000599,1817.00
02/13/2025,'Wire Transfer-in AMCOR RIGID PACKAG AMCOR RIGID PACKAG ING DE VENEZUE 000000000000631,17200.88
